slug,name,region,year_constructed,water_source,projects,about,site_link,video_url,photo_path,cover_image_url,latitude,longitude
bulunga,Bulunga,Manzini,2021,"Rain water capturing, Well",Vegetable sales,"Bulunga is a mountain. In the past, people of this area were known to be of good character. 'Kulunga' in siSwati is being of good character. That is why the area was named Bulunga.",https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=gM1w493Ha_s&t=3s,images/seed_uploads/sites/bulunga/bulunga-icbc-bulunga-pre-school-children-indoors.jpg,images/seed_uploads/covers/bulunga/bulunga-icbc-children-with-teachers.jpg,-26.660557,31.62011
engcamini,Engcamini,Lubombo,2013,Well with solar pump,"Dairy sales, Chicken and egg sales, Sewing","Engcamini was found to be an open grassland perfect for King Sobhuza's cattle to graze on. The large cattle population was then slaughtered, cooked and prepared as a meal for the King and His men for the journey.",https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=AxVnFPmivfI&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=8,C__Users_Jason_Downloads_bitfuul-images_Engcamini-resized.jpg,,-26.470755,31.845592
gebeni,Gebeni,Manzini,2017,"Rain water capturing, Well","Chicken and egg sales,",Gebeni was found to be an open grassland perfect for the King's cattle to graze on. This farm became known as Gebeni meaning an area for the King's cattle.,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=zOd0X9aMspQ&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=28,C__Users_Jason_Downloads_bitfuul-images_Gebeni-resized.jpg,,-26.609458,31.323002
hawane,Hawane,Hhohho,2008,"River, Rain water capturing","Vegetable sales, Chicken and egg sales, Honey production",Hawane is a community of 3000 people. It was a grazing land for the King back in the 1940's. The headman was Hawane Tsabedze. It was named after him.,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=v6zraHltP5c&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=30,C__Users_Jason_Downloads_bitfuul-images_Hawane-resized.jpg,,-26.213802,31.081032
jubukweni,Jubukweni,Hhohho,2021,"River, Community water pipeline",Maize production,Jubukweni is mountainous area next to the Mbuluzi river. This area has fertile land good for farming and is full of small streams.,https://www.youtube.com/@icbcscms133/videos,,C__Users_Jason_Downloads_bitfuul-images_Jubukweni-resized.jpg,,-26.189405,31.205945
kaliba,Kaliba,Shiselweni,2021,"Well with solar pump, Well",Vegetable sales,"This area was named KaLiba, after the Liba clan which was led by Liba Dlamini. The Liba clan settled in this area and ruled over it.",https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=pseYPbfRYqY&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=26,C__Users_Jason_Downloads_bitfuul-images_Kaliba-resized.jpg,,-27.08872,31.487569
kancesi,Kancesi,Hhohho,2021,"Rain water capturing,",Vegetable sales,"The name of the area the ICBC site is in Kancesi is called Gangakhulu, meaning troublesome. It was named that because the people in this community were too mischievous.",https://www.youtube.com/@icbcscms133/videos,,C__Users_Jason_Downloads_bitfuul-images_Kancesi-resized.jpg,,-26.1436448,31.2309874
lavumisa,Lavumisa,Shiselweni,1996,River,Chickens,"Lavumisa is a great transforming community that was hugely affected by prolonged droughts in the past. Lavumisa is a huge community that was named in honor of King Sobhuza's wife, who was the daughter of Vumisa Ndwandwe.",https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=-WROwK5zaLc&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=29,C__Users_Jason_Downloads_bitfuul-images_Lavumisa-resized.jpg,,-27.092074,31.812741
lonhlalane,Lonhlalane,Hhohho,2020,"Rain water capturing, Well",Chicken and egg sales,"Lonhlalane is an area which had a lot of wild fruits, but the most common one was called Lihlala which almost resembles a coconut. Because this was the common fruit here the area was then called Lonhlalane.",https://www.youtube.com/@icbcscms133/videos,,C__Users_Jason_Downloads_bitfuul-images_Lonhlane-resized.jpg,,-25.9058457,31.6230284
lundzi,Lundzi,Manzini,2020,Well with solar pump,Vegetable sales,Lundzi came from the name Lundzini which was the name of a homestead that was used to divide the south and north. The south was called Mpuluzi and the north was called Lundzi.,https://www.youtube.com/@icbcscms133/videos,,C__Users_Jason_Downloads_bitfuul-images_Lundzi-resized.jpg,,-26.3436578,30.8961883
lushikishini,Lushikishini,Manzini,2022,Well,None yet,Lushikishini is the only area in Eswatini that has parts of South African land within it's land. It has a vast forestry landscape.,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=od8Kd8WJf4o&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=11,C__Users_Jason_Downloads_bitfuul-images_Lushikisheni-resized.jpg,,-26.78051,30.88177
mabhukwini,Mabhukwini,Manzini,2024,"River, Well",None yet,Mabhukwini was under a Chief called Chief Lusendvo Fakudze but now it is currently under no Chief yet it is still under the books of Law. The word ‘’Books’’ is translated “Emabhuku’’ hence the name Mabhukwini came about.,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=0OspqPqXVaI&t=4s,Mabhukwini_.png,,-26.51542915,30.82555264620543
mahlangatsha,Mahlangatsha,Manzini,2026/05/01,River,,,,,,,-26.76766,31.178545
makhungutja,Makhungutja,Manzini,2024,"River, Well,",None yet,"The area is known for its Catholic school, formerly known as Sancta Filipo Benizzi School, located in the Makhungutja Hills in Eswatini, known for producing leaders and situated in a serene environment.",https://www.youtube.com/@icbcscms133/videos,,,,-26.679819,31.269375
mangcongco,Mangcongco,Manzini,2021,"Rain water capturing, Well",Grane/Cattle sales,Mangcongco is known for its cold winter. It is also land that is good for farming.,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=BbzPB8Pa1rE&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=14,C__Users_Jason_Downloads_bitfuul-images_Mangcongco-resized.jpg,,-26.564893,30.849557
mantabeni,Mantabeni,Hhohho,2024,"Rain water capturing, River",None yet,,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=9U50ImKPUKY&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=4,,,-26.409702,31.107602
mbowane,Mbowane,Shiselweni,2020,"Rain water capturing, Well","Vegetable sales, Chicken and egg sales","In the past, the area was dominated by missionaries. This area was called Mbowane after one of the missionaries who was named Mbowane.",https://www.youtube.com/@icbcscms133/videos,,C__Users_Jason_Downloads_bitfuul-images_Mbowane-resized.jpg,,-27.0446836,31.3146441
mcuba,Mcuba,Hhohho,2023,Well,None yet,THE HISTORICAL NAME MCUBA IS A MOUNTAIN. THIS NAME WAS GIVEN BECAUSE OF GOOD HARVEST THAT WAS FOUNDED NEAR THIS MOUNTAIN.,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=4BYD1YxN68w&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=7,Mcuba_.jpg,,-25.894189,31.534009
mhlabubovu,Mhlabubovu,Manzini,2023,"Rain Water Capturing, Well",None yet,"The name 'Mhlabubovu' means the soil is Red, therefore the place was named after is Red Soil",https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=YCew1K6HqJM,,,-26.574496,31.108108
mhlangatane,Mhlangatane,Hhohho,2013,Well with solar pump,Honey production,Mhlangatane's name comes from the river called Mhlangatane. The river was full of reeds ('umhlanga') that people came from far away to cut down by the river. That is why the area is called Mhlangatane.,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=dSnTLwXOjnA&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=24,C__Users_Jason_Downloads_bitfuul-images_Mlangatane-resized.jpg,,-25.860606,31.571041
mlindazwe,Mlindazwe,Hhohho,2020,"Rain water capturing, Well","Chicken and egg sales, Vegetable sales","Mlindazwe was a name given to a Chiefdom. The area was named after the Chiefdom. This place is a home to exquisite panoramic views, staggering mountains and rivers.",https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=jeIEtMRuiZ0&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=23,C__Users_Jason_Downloads_bitfuul-images_Mlindazwe-resized.jpg,,-26.489134,30.892464
moneni,Moneni,Manzini,2024,"Well, Eswatini Water Connection",None yet,"Moneni, meaning 'jealousy' in the context of a historical story in Eswatini where a prince, who had a beautiful home in the area, suspected jealousy among the people of the area. It is a peri-urban township located on the east of Manzini City.",https://www.youtube.com/@icbcscms133/videos,,Moneni_.jpg,,-26.497621,31.407366
mpolonjeni,Mpolonjeni,Hhohho,2016,"River, Well","Chicken and egg sales, Vegetable sales",Mpolonjeni was one of the areas with open grasslands for the King's cattle to graze on. Mpolonjeni was a place of hiding. The King used to hide and keep his cattle here. This place is known for its beautiful mountains and springs.,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=AhCcIpU2sfQ&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=15,C__Users_Jason_Downloads_bitfuul-images_Mpolonjeni-resized.jpg,,-26.30613,31.081256
mpuluzi,Mpuluzi,Manzini,2021,"Rain water capturing, Well","Chicken and egg sales, Vegetable sales",Mpuluzi got its name from the river in the area which is called Mpuluzi.,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=MtggHl60asI&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=19,C__Users_Jason_Downloads_bitfuul-images_Mpuluzi-resized.jpg,,-26.447329,30.868445
msahweni,Msahweni,Hhohho,2010,Well with solar pump,Chicken and egg sales,Msahweni is a word taken from the word of sawing wood in siSwati ('kusaha'). This area was named after a business that was created by community members of cutting timber.,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=uGVb_0DHEQQ&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=18,C__Users_Jason_Downloads_bitfuul-images_Msaweni-resized.jpg,,-25.794482,31.431437
ngwempisi,Ngwempisi,Manzini,2017,"River, Well","Vegetable sales, Honey production, Chicken and egg sales",People would travel all over the country looking for traditional African medicine or magical charms. Ngwempisi was known to have the very best medicine in the country.,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=dO1H4gMqjEY&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=21,C__Users_Jason_Downloads_bitfuul-images_Ngwempisi-resized.jpg,,-26.7126478,31.3390905
ngwenya,Ngwenya,Hhohho,2017,"Rain water capturing, Well","Vegetable sales, Chicken and egg sales","The name originated from a mountain at Ngwenya shaped like a Crocodile. Long ago, when people looked at the mountain, they saw the mountain looking similar to a lazy crocodile getting some rest. The area was named Ngwenya which means Crocodile.",https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=r_GDV_XPCOQ&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=27,C__Users_Jason_Downloads_bitfuul-images_Ngwenya-resized.jpg,,-26.2407557,31.0145886
njakeni,Njakeni,Hhohho,2024,"River, Well",None yet,Njakeni was a named after a man who was well known for cotton growing in the community and his name was Njakeni. The main bus station for the town was named after him hence the whole area became known as Njakeni.,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=zafIlb8ySCQ,Njakeni__.jpeg,,-25.8328049,31.3898529
nsingweni,Nsingweni,Manzini,2025,Well,None yet,Nsingweni refers to a branch of the Dlamini clan historically entrusted with the esteemed responsibility of caring for the king’s wives (Emakhosikati) following the passing of the monarch.,https://www.youtube.com/@icbcscms133/videos,,,,-26.296629,31.36758
nsubane,Nsubane,Lubombo,2020,Rain water capturing,"Vegetable sales, Chicken and egg sales","Nsubane is situated along the Lebombo mountain separating us to our neighbouring country, South Africa.",https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=IZJQOXAFtyY,C__Users_Jason_Downloads_bitfuul-images_Nsubani-resized.jpg,,-27.152752,31.959755
ntondozi,Ntondozi,Manzini,2025,Well,None yet,"The name “Ntondozi” is said to have originated from a small mountain stream that consistently released water to the surrounding community—drop by drop. In siswati, the sound of dripping water is expressed as “nto, nto,” echoing the steady rhythm of the stream. Over time, the mountain became known as Ntondozi, eventually, the name extended to the entire surrounding area, giving rise to the place we know today as Ntondozi.",https://www.youtube.com/@icbcscms133/videos,,,,-26.623646,31.217245
nyakeni,Nyakeni,Manzini,2025,Well,None yet,"Nyakeni Chiefdom is named after 'Umnyaka', which is a year in SiSwati. This name came because the community used to host sheep grazing from South African farmers yearly from March until the spring season in October, taking up most of their year.",https://www.youtube.com/@icbcscms133/videos,,,,-26.385828,31.379187
nyamane,Nyamane,Shiselweni,2025,"River, Well",None yet,"It is said that the area now known as “Nyamane” was once rich with umtholo (wattle) trees. During the spring season, these trees would host a specific type of worm called “emanyamane”. The local people would harvest and feed on these worms, which were considered a seasonal delicacy. Over time, because of the abundance of emanyamane in the area and their importance to the community, the place came to be known as “Enyamane”, which eventually became Nyamane.",https://www.youtube.com/@icbcscms133/videos,,,,-27.1473,31.1984
nyathela,Nyathela,Lubombo,2017,Well with solar pump,"Honey production, Chicken and egg sales, Vegetable sales",Nyathela phezulu' means standing out above the others. This name of the area was given after a Supermarket that was built in this area. The owner of the shop wanted to be different in terms of the services he offered.,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=E4Hcicz-b_M&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=22,C__Users_Jason_Downloads_bitfuul-images_Nyathela-resized.jpg,,-26.500945,31.911943
phonjwane,Phonjwane,Manzini,2024,"River, Well",None yet,"Phonjwane was named according to its mountain. The mountain was named according to what the mountain looks like, it is sharp on the top like a horn (Luphondvo).",https://www.youtube.com/@icbcscms133/videos,,Phonjwane__.jpeg,,-26.596548,31.612133
phuzweni,Phuzweni,Hhohho,2025,Well,None yet,"There was once a royal kraal in the area. During cultural festivities such as Umhlanga and Incwala, wealthy individuals would gather here to drink milk, sour milk, and whey as a form of cleansing. This practice gave the place its name — Phuzweni — meaning 'the drinking site.'",https://www.youtube.com/@icbcscms133/videos,,Phuzweni_site.jpg,,-26.22791131,31.316005
pine-valley,Pine Valley,Hhohho,2014,River,"Vegetable sales, Pig sales, B&B","This place was named Pine Valley after it was discovered that it had a lot of pine trees, and it is situated on the valleys of Sibebe mountain.",https://www.youtube.com/@icbcscms133/videos,,C__Users_Jason_Downloads_bitfuul-images_Pine Valley-resized.jpg,,-26.2817522,31.1611683
sibovini,Sibovini,Lubombo,2020,"Rain water capturing, Well","Vegetable sales, Chicken and egg sales, Firewood sales","Long ago, Sibovini was called Magwanyana. This area was later named Sibovini by the Chief after the colour of the soil in this land which was Red ('ubovu'), hence the name Sibovini.",https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=w0ERLZOoGVM,C__Users_Jason_Downloads_bitfuul-images_Sibovini-resized.jpg,,-26.5931095,31.967074
sigangeni,Sigangeni,Hhohho,2022,Well with solar pump,Maize production,Ebhudlweni in Sigangeni is an area that was named after a waterfall next to a bridge. It was said that many people would go to cool themselves down with the waterfall.,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=Ou7O4lUBHvw&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=17,,,-26.3465185,30.9681741
sigcaweni,Sigcaweni,Manzini,2020,Well with solar pump,"Vegetable sales, Chicken and egg sales, Firewood sales","Sigcaweni is an area that used to be full of wild fruits. Because of this, people would go to this area to gather food. So, it was then called Sigcaweni.",https://www.youtube.com/@icbcscms133/videos,,C__Users_Jason_Downloads_bitfuul-images_Sigcaweni-resized.jpg,,-26.5668866,31.6879841
sigengeni,Sigengeni,Shiselweni,2023,"River, Well",None yet,Sigengeni is an area that used to be for government farming projects. It is now a community whereby its people mostly do farming for sustainability.,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=VTQ8i2xTVBQ&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=10,,,-26.998037,31.400126
sigombeni,Sigombeni,Manzini,2023,Well,None yet,The area's name comes from a beverage called 'sgomba' that was popular in the area. Sigombeni has ample land that is good for farming and growing crops.,https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=8NOvwrvcYHE&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=13,,,-26.3641553,31.3366895
tibane,Tibane,Shiselweni,2018,Well with solar pump,"Fruit and vegetable sales, Chicken and egg sales","There was a salt river that ran across this area and the river was called Tibane. The area is known for its flat fertile land, which is good for farming.",https://www.youtube.com/@icbcscms133/videos,https://www.youtube.com/watch?v=-YIPBeKlv3o&list=PLuBdohRrAcEUF-Vpi6jmoG_I4rDlapZ_i&index=25,C__Users_Jason_Downloads_bitfuul-images_Tibane-resized.jpg,,-27.130691,31.7763773
zondwako,Zondwako,Manzini,2021,Connection to community water pipeline,"Cattle sales, Vegetable sales","There was a man known as Mgazi, who was a native in eSwatini. He had two sons named Zondwako and Luhleko. Zondwako ended up living in this area which then became known as Zondwako.",https://www.youtube.com/@icbcscms133/videos,,C__Users_Jason_Downloads_bitfuul-images_Zondwako-resized.jpg,,-26.539167,30.994856
